id,question,answer
126,lsp-medialive-conductor Conductor can not find a profile for the create livestream request?,"Given a ""create-livestream.unknown.json"" create livestream message
And Medialive State API gateway /livestreams post endpoint exists and will respond with HTTP 201
And Medialive State API gateway /slates post endpoint exists and will respond with HTTP 201
When the message arrives from the input queue
Then an ispy event 'lsp-medialive-conductor.create-livestream.request.received' is emitted with the received attributes
And a 'POST' to the '/livestreams' API gateway endpoint
And for each Input on the Livestream object a message is POSTed to the /slates API gateway endpoint
And for each Input the following Ispys are emitted:
And for each Input an inputCreated DEEL message is published to the encoding output topic
And an ispy event 'lsp-medialive-conductor.create-livestream.persisted' is emitted with the received attributes
And the message is sent to the fail queue
And a profile failure notification is sent to the encoding output topic
And an ispy event 'lsp-medialive-conductor.profile.retrieval.failed' is emitted with the received attributes

"
127,lsp-medialive-conductor Not enough packager uris in request for encoder resilience model B so conductor fails to create livestream?,"Given a ""uk-simulcast-hd-create-livestream-insufficient-packager-uris.json"" create livestream message
And the AWS EC2 api will respond to a ""allocate"" Elastic IP request
And Medialive State API gateway /livestreams post endpoint exists and will respond with HTTP 201
And MediaLive State API ""/inputs"" ""GET"" endpoint exists and responds:
And Medialive State API gateway /inputs post endpoint exists for each input
And Medialive State API gateway /inputs put endpoint exists and will respond with HTTP 200
And Medialive /inputs endpoint exists and will respond to:
And the AWS EC2 api will respond to a describe subnets request
And Medialive /channels endpoint exists and will respond ""201""
And MediaLive State API ""/livestreams"" ""PUT"" endpoint returns HTTP ""201"" with profile name
And MediaLive State API ""/channels"" ""GET"" endpoint returns HTTP ""201"" with
And MediaLive State API ""/channels"" ""POST"" endpoint returns HTTP ""201"" with
When the message arrives from the input queue
Then an ispy event 'lsp-medialive-conductor.eip.created' is emitted with the received attributes
And a failure notification is sent to the encoding output topic with error class ""CREATE_LIVESTREAM_FAILED"" and statement ""createLivestreamFailed""
And an ispy event 'lsp-medialive-conductor.medialive.insufficient-data' is emitted
And an ispy event 'lsp-medialive-conductor.medialive.insufficient-data.notification' is emitted with the received attributes
And the message is sent to the fail queue

"
128,lsp-medialive-conductor Not enough packager uris in request for encoder resilience model B so conductor fails to create livestream?,"Given a ""uk-simulcast-hd-create-livestream-missing-private-push-packager-endpoint.json"" create livestream message
And the AWS EC2 api will respond to a ""allocate"" Elastic IP request
And Medialive State API gateway /livestreams post endpoint exists and will respond with HTTP 201
And MediaLive State API ""/inputs"" ""GET"" endpoint exists and responds:
And Medialive State API gateway /inputs post endpoint exists for each input
And Medialive State API gateway /inputs put endpoint exists and will respond with HTTP 200
And Medialive /inputs endpoint exists and will respond to:
And the AWS EC2 api will respond to a describe subnets request
And Medialive /channels endpoint exists and will respond ""201""
And MediaLive State API ""/livestreams"" ""PUT"" endpoint returns HTTP ""201"" with profile name
And MediaLive State API ""/channels"" ""GET"" endpoint returns HTTP ""201"" with
And MediaLive State API ""/channels"" ""POST"" endpoint returns HTTP ""201"" with
When the message arrives from the input queue
Then an ispy event 'lsp-medialive-conductor.eip.created' is emitted with the received attributes
And a failure notification is sent to the encoding output topic with error class ""CREATE_LIVESTREAM_FAILED"" and statement ""createLivestreamFailed""
And an ispy event 'lsp-medialive-conductor.error.no-matching-packager-url' is emitted
And an ispy event 'lsp-medialive-conductor.error.no-matching-packager-url.notification' is emitted with the received attributes
And the message is sent to the fail queue
"
129,lsp-medialive-conductor Conductor receives a message to amend an overlay and dog position none?,"Given an ""amend-overlay-none.json"" amend overlay message
And MediaLive State API ""/channels"" ""GET"" endpoint returns HTTP ""200"" with
And MediaLive State API ""/livestreams"" ""GET"" endpoint returns HTTP ""200"" with
And Medialive schedule endpoint exists and will respond with HTTP ""200""
When the message arrives from the input queue
Then an ispy event 'lsp-medialive-conductor.amend-overlay.request.received' is emitted with the received attributes
And a 'GET' to the '/channels' API gateway endpoint
And a 'GET' to the '/livestreams' API gateway endpoint
And a 'PUT' request is sent to the Medialive '/prod/channels/3887246/schedule' endpoint
And an ispy event ""lsp-medialive-conductor.channel.overlay.deactivated"" is emitted

"
130,lsp-medialive-conductor Conductor receives a message to amend an overlay and dog position top left?,"Given an ""amend-overlay-tl.json"" amend overlay message
And MediaLive State API ""/channels"" ""GET"" endpoint returns HTTP ""200"" with
And MediaLive State API ""/livestreams"" ""GET"" endpoint returns HTTP ""200"" with
And Medialive schedule endpoint exists and will respond with HTTP ""200""
When the message arrives from the input queue
Then an ispy event 'lsp-medialive-conductor.amend-overlay.request.received' is emitted with the received attributes
And a 'GET' to the '/channels' API gateway endpoint
And a 'GET' to the '/livestreams' API gateway endpoint
And a 'PUT' request is sent to the Medialive '/prod/channels/3887246/schedule' endpoint
And an ispy event ""lsp-medialive-conductor.channel.overlay.amended"" is emitted

"
131,lsp-medialive-conductor Conductor receives a message to amend an overlay and dog position top right?,"Given an ""amend-overlay-tr.json"" amend overlay message
And MediaLive State API ""/channels"" ""GET"" endpoint returns HTTP ""200"" with
And MediaLive State API ""/livestreams"" ""GET"" endpoint returns HTTP ""200"" with
And Medialive schedule endpoint exists and will respond with HTTP ""200""
When the message arrives from the input queue
Then an ispy event 'lsp-medialive-conductor.amend-overlay.request.received' is emitted with the received attributes
And a 'GET' to the '/channels' API gateway endpoint
And a 'GET' to the '/livestreams' API gateway endpoint
And a 'PUT' request is sent to the Medialive '/prod/channels/3887246/schedule' endpoint
And an ispy event ""lsp-medialive-conductor.channel.overlay.amended"" is emitted

"
132,lsp-medialive-conductor Conductor receives a message to amend an overlay and dog position top right for simulcast?,"Given an ""amend-overlay-tr.json"" amend overlay message
And MediaLive State API ""/channels"" ""GET"" endpoint returns HTTP ""200"" with
And MediaLive State API ""/livestreams"" ""GET"" endpoint returns HTTP ""200"" with
And Medialive schedule endpoint exists and will respond with HTTP ""200""
When the message arrives from the input queue
Then an ispy event 'lsp-medialive-conductor.amend-overlay.request.received' is emitted with the received attributes
And a 'GET' to the '/channels' API gateway endpoint
And a 'GET' to the '/livestreams' API gateway endpoint
And a 'PUT' request is sent to the Medialive '/prod/channels/3887246/schedule' endpoint
And an ispy event ""lsp-medialive-conductor.channel.overlay.amended"" is emitted

"
133,lsp-medialive-conductor Conductor receives discards amend-overlay message if no dog selected?,"Given an ""amend-overlay-tr.json"" amend overlay message
And MediaLive State API ""/channels"" ""GET"" endpoint returns HTTP ""200"" with
And MediaLive State API ""/livestreams"" ""GET"" endpoint returns HTTP ""200"" with
When the message arrives from the input queue
Then an ispy event 'lsp-medialive-conductor.amend-overlay.request.received' is emitted with the received attributes
And a 'GET' to the '/channels' API gateway endpoint
And a 'GET' to the '/livestreams' API gateway endpoint
And an ispy event ""lsp-medialive-conductor.amend-overlay.discarded"" is emitted

"
134,lsp-medialive-conductor Conductor receives a message to amend an overlay and batchschedule medialive API operation returns 4xx?,"Given an ""amend-overlay-tr.json"" amend overlay message
And MediaLive State API ""/channels"" ""GET"" endpoint returns HTTP ""200"" with
And MediaLive State API ""/livestreams"" ""GET"" endpoint returns HTTP ""200"" with
And Medialive schedule endpoint exists and will respond with HTTP ""400""
When the message arrives from the input queue
Then an ispy event 'lsp-medialive-conductor.amend-overlay.request.received' is emitted with the received attributes
And a 'GET' to the '/channels' API gateway endpoint
And a 'GET' to the '/livestreams' API gateway endpoint
And an ispy event 'lsp-medialive-conductor.medialive.channel.amend-overlay-failed' is emitted
And a failure notification is sent to the encoding output topic with error class ""SCHEDULE_CREATION_FAILED_IN_MEDIALIVE"" and statement ""amendOverlayFailed""
And an ispy event 'lsp-medialive-conductor.medialive.channel.amend-overlay-failed.notification' is emitted with the received attributes
And the message is sent to the fail queue

"
135,lsp-medialive-conductor Conductor receives a message to amend an overlay and batchschedule medialive API operation returns 5xx?,"Given an ""amend-overlay-tr.json"" amend overlay message
And MediaLive State API ""/channels"" ""GET"" endpoint returns HTTP ""200"" with
And MediaLive State API ""/livestreams"" ""GET"" endpoint returns HTTP ""200"" with
And Medialive schedule endpoint exists and will respond with HTTP ""500""
When the message arrives from the input queue
Then an ispy event 'lsp-medialive-conductor.amend-overlay.request.received' is emitted with the received attributes
And a 'GET' to the '/channels' API gateway endpoint
And a 'GET' to the '/livestreams' API gateway endpoint
And an ispy event 'lsp-medialive-conductor.medialive.channel.amend-overlay-failed' is emitted
And a failure notification is sent to the encoding output topic with error class ""SCHEDULE_CREATION_FAILED_IN_MEDIALIVE"" and statement ""amendOverlayFailed""
And an ispy event 'lsp-medialive-conductor.medialive.channel.amend-overlay-failed.notification' is emitted with the received attributes

"
136,lsp-medialive-conductor Conductor receives a message to amend an overlay and Get channels returns 4xx?,"Given an ""amend-overlay-none.json"" amend overlay message
And MediaLive State API ""/channels"" ""GET"" endpoint returns HTTP ""400"" with
And MediaLive State API ""/livestreams"" ""GET"" endpoint returns HTTP ""200"" with
When the message arrives from the input queue
Then an ispy event 'lsp-medialive-conductor.amend-overlay.request.received' is emitted with the received attributes
And an ispy event 'lsp-medialive-conductor.channel-retrieve-failed' is emitted with the received attributes
And a failure notification is sent to the encoding output topic with error class ""RETRIEVE_CHANNEL_FAILED"" and statement ""amendOverlayFailed""
And an ispy event 'lsp-medialive-conductor.channel-retrieve-failed.notification' is emitted with the received attributes
And the message is sent to the fail queue

"
137,lsp-medialive-conductor Conductor receives a message to amend an overlay and Get channels returns 5xx?,"Given an ""amend-overlay-none.json"" amend overlay message
And MediaLive State API ""/channels"" ""GET"" endpoint returns HTTP ""500"" with
And MediaLive State API ""/livestreams"" ""GET"" endpoint returns HTTP ""200"" with
When the message arrives from the input queue
Then an ispy event 'lsp-medialive-conductor.amend-overlay.request.received' is emitted with the received attributes
And an ispy event 'lsp-medialive-conductor.channel-retrieve-failed' is emitted with the received attributes
And a failure notification is sent to the encoding output topic with error class ""RETRIEVE_CHANNEL_FAILED"" and statement ""amendOverlayFailed""
And an ispy event 'lsp-medialive-conductor.channel-retrieve-failed.notification' is emitted with the received attributes

"
138,lsp-medialive-conductor LivestreamStarted?,"Given a livestream started message
And MediaLive State API ""/livestreams"" ""GET"" endpoint returns HTTP ""200"" with
And MediaLive State API ""/channels"" ""GET"" endpoint returns HTTP ""200"" with
And Medialive State API gateway /inputs get endpoint exists and will respond with HTTP 200
And Medialive State API gateway /slates get endpoint exists and will respond with HTTP 200 for
And MediaLive State API ""/channels"" ""PUT"" endpoint returns HTTP ""200"" with
And Medialive describe channel endpoint exists and will respond with HTTP ""200""
And Medialive live input schedule update endpoint for ""slate_cvid"" exists and will respond with HTTP ""200""
When the message arrives from the input queue
Then an ispy event 'lsp-medialive-conductor.livestream-started.received' is emitted
Then an ispy event 'lsp-medialive-conductor.livestream-started.default-slate-input.retrieved' is emitted with the received attributes
And a 'PUT' to the '/channels' API gateway endpoint
Then an ispy event 'lsp-medialive-conductor.switch-input.target-input.updated' is emitted
And a 'GET' request is sent to the Medialive '/prod/channels/3887246' endpoint
And an ispy event 'lsp-medialive-conductor.switch-input.input-attachment-name.retrieved' is emitted with the received attributes
And a 'PUT' request is sent to the Medialive '/prod/channels/3887246/schedule' endpoint
And an ispy event 'lsp-medialive-conductor.switch-input.processed' is emitted

"
139,lsp-medialive-conductor LivestreamStarted for simulcast?,"Given a livestream started message
And MediaLive State API ""/livestreams"" ""GET"" endpoint returns HTTP ""200"" with
When the message arrives from the input queue
Then an ispy event 'lsp-medialive-conductor.livestream-started.received' is emitted
And an ispy event 'lsp-medialive-conductor.livestream-started.discarded' is emitted

"
140,lsp-medialive-conductor LivestreamStarted but GET Slate fails with 4xx?,"Given a livestream started message
And MediaLive State API ""/livestreams"" ""GET"" endpoint returns HTTP ""200"" with
And MediaLive State API ""/channels"" ""GET"" endpoint returns HTTP ""200"" with
And Medialive State API gateway /inputs get endpoint exists and will respond with HTTP 200
And Medialive State API gateway /slates get endpoint exists and will respond with HTTP 400 for
And MediaLive State API ""/channels"" ""PUT"" endpoint returns HTTP ""200"" with
And Medialive describe channel endpoint exists and will respond with HTTP ""200""
And Medialive live input schedule update endpoint for ""liveRTMP_cvid"" exists and will respond with HTTP ""200""
When the message arrives from the input queue
Then an ispy event 'lsp-medialive-conductor.livestream-started.received' is emitted
And an ispy event 'lsp-medialive-conductor.livestream-started.default-slate-retrieve-failed' is emitted with the received attributes
And a failure notification is sent to the encoding output topic with error class ""RETRIEVE_SLATE_FAILED"" and statement ""livestreamStartedFailed""
And an ispy event 'lsp-medialive-conductor.livestream-started.default-slate-retrieve-failed.notification' is emitted with the received attributes
And the message is sent to the fail queue

"
141,lsp-medialive-conductor LivestreamStarted but GET Slate fails with 5xx?,"Given a livestream started message
And MediaLive State API ""/livestreams"" ""GET"" endpoint returns HTTP ""200"" with
And MediaLive State API ""/channels"" ""GET"" endpoint returns HTTP ""200"" with
And Medialive State API gateway /inputs get endpoint exists and will respond with HTTP 200
And Medialive State API gateway /slates get endpoint exists and will respond with HTTP 500 for
And MediaLive State API ""/channels"" ""PUT"" endpoint returns HTTP ""200"" with
And Medialive describe channel endpoint exists and will respond with HTTP ""200""
And Medialive live input schedule update endpoint for ""liveRTMP_cvid"" exists and will respond with HTTP ""200""
When the message arrives from the input queue
Then an ispy event 'lsp-medialive-conductor.livestream-started.received' is emitted
And an ispy event 'lsp-medialive-conductor.livestream-started.default-slate-retrieve-failed' is emitted with the received attributes
And a failure notification is sent to the encoding output topic with error class ""RETRIEVE_SLATE_FAILED"" and statement ""livestreamStartedFailed""
And an ispy event 'lsp-medialive-conductor.livestream-started.default-slate-retrieve-failed.notification' is emitted with the received attributes

"
142,lsp-medialive-conductor LivestreamStarted but GET Slate returns no slate?,"Given a livestream started message
And MediaLive State API ""/livestreams"" ""GET"" endpoint returns HTTP ""200"" with
And MediaLive State API ""/channels"" ""GET"" endpoint returns HTTP ""200"" with
And Medialive State API gateway /inputs get endpoint exists and will respond with HTTP 200
And MediaLive State API ""/channels"" ""PUT"" endpoint returns HTTP ""200"" with
And MediaLive State API ""/slates"" ""GET"" endpoint returns empty HTTP ""200""
When the message arrives from the input queue
Then an ispy event 'lsp-medialive-conductor.livestream-started.received' is emitted
And an ispy event 'lsp-medialive-conductor.livestream-started.default-slate-record-notfound' is emitted with the received attributes
And a failure notification is sent to the encoding output topic with error class ""RETRIEVE_SLATE_FAILED"" and statement ""livestreamStartedFailed""
And an ispy event 'lsp-medialive-conductor.livestream-started.default-slate-record-notfound.notification' is emitted with the received attributes
"
143,lsp-medialive-conductor Conductor receives a message that a livestream has been stopped?,"Given a livestream stopped message
And MediaLive State API ""/livestreams"" ""GET"" endpoint returns HTTP ""200"" with
And MediaLive State API ""/channels"" ""GET"" endpoint returns HTTP ""200"" with
And MediaLive State API ""/channels"" ""PUT"" endpoint returns HTTP ""200"" with
And Medialive delete channel endpoint exists and will respond with HTTP ""200""
When the message arrives from the input queue
Then an ispy event 'lsp-medialive-conductor.livestream-stopped.received' is emitted with the received attributes
And a 'GET' to the '/livestreams' API gateway endpoint
And a 'GET' to the '/channels' API gateway endpoint
Then a 'DELETE' request is sent to the Medialive '/prod/channels/3887246' endpoint
And an ispy event 'lsp-medialive-conductor.channel.deleting' is emitted with the received attributes
And a 'PUT' to the '/channels' API gateway endpoint
And an ispy event 'lsp-medialive-conductor.channel.state.updated' is emitted with the received attributes

"
144,lsp-medialive-conductor Conductor discards message if workflow type is simulcast and does not progress rest of workflow?,"Given a livestream stopped message
And MediaLive State API ""/livestreams"" ""GET"" endpoint returns HTTP ""200"" with
When the message arrives from the input queue
Then an ispy event 'lsp-medialive-conductor.livestream-stopped.received' is emitted with the received attributes
And a 'GET' to the '/livestreams' API gateway endpoint
And an ispy event 'lsp-medialive-conductor.livestream-stopped.discarded' is emitted with the received attributes

"
145,lsp-medialive-conductor receive 404 from Medialive when deleting a channel and continue as it would have been success?,"Given a livestream stopped message
And MediaLive State API ""/livestreams"" ""GET"" endpoint returns HTTP ""200"" with
And MediaLive State API ""/channels"" ""GET"" endpoint returns HTTP ""200"" with
And Medialive delete channel endpoint exists and will respond with HTTP ""404""
And MediaLive State API ""/channels"" ""PUT"" endpoint returns HTTP ""200"" with
When the message arrives from the input queue
Then an ispy event 'lsp-medialive-conductor.livestream-stopped.received' is emitted with the received attributes
And a 'GET' to the '/livestreams' API gateway endpoint
Then a 'DELETE' request is sent to the Medialive '/prod/channels/3887246' endpoint
And an ispy event 'lsp-medialive-conductor.medialive.channel.already-deleted' is emitted with the received attributes
And a 'PUT' to the '/channels' API gateway endpoint
And an ispy event 'lsp-medialive-conductor.channel.state.updated' is emitted with the received attributes

"
146,lsp-medialive-conductor receive 4XX when deleting a channel?,"Given a livestream stopped message
And MediaLive State API ""/livestreams"" ""GET"" endpoint returns HTTP ""200"" with
And MediaLive State API ""/channels"" ""GET"" endpoint returns HTTP ""200"" with
And Medialive delete channel endpoint exists and will respond with HTTP ""400""
And MediaLive State API ""/channels"" ""PUT"" endpoint returns HTTP ""200"" with
When the message arrives from the input queue
Then an ispy event 'lsp-medialive-conductor.livestream-stopped.received' is emitted with the received attributes
And a 'GET' to the '/channels' API gateway endpoint
Then a 'DELETE' request is sent to the Medialive '/prod/channels/3887246' endpoint
And an ispy event 'lsp-medialive-conductor.channel.channel-delete-failed' is emitted with the received attributes
And a 'PUT' to the '/channels' API gateway endpoint
And a failure notification is sent to the encoding output topic with error class ""DELETE_CHANNEL_FAILED_IN_MEDIALIVE"" and statement ""livestreamStoppedFailed""
And an ispy event 'lsp-medialive-conductor.channel.channel-delete-failed.notification' is emitted with the received attributes
And an ispy event 'lsp-medialive-conductor.medialive.channel-update' is emitted with the received attributes
And the message is sent to the fail queue

"
147,lsp-medialive-conductor receive 5XX when deleting a channel?,"Given a livestream stopped message
And MediaLive State API ""/livestreams"" ""GET"" endpoint returns HTTP ""200"" with
And MediaLive State API ""/channels"" ""GET"" endpoint returns HTTP ""200"" with
And Medialive delete channel endpoint exists and will respond with HTTP ""500""
And MediaLive State API ""/channels"" ""PUT"" endpoint returns HTTP ""200"" with
When the message arrives from the input queue
Then an ispy event 'lsp-medialive-conductor.livestream-stopped.received' is emitted with the received attributes
And a 'GET' to the '/channels' API gateway endpoint
Then a 'DELETE' request is sent to the Medialive '/prod/channels/3887246' endpoint
And an ispy event 'lsp-medialive-conductor.channel.channel-delete-failed' is emitted with the received attributes
And a 'PUT' to the '/channels' API gateway endpoint
And a failure notification is sent to the encoding output topic with error class ""DELETE_CHANNEL_FAILED_IN_MEDIALIVE"" and statement ""livestreamStoppedFailed""
And an ispy event 'lsp-medialive-conductor.channel.channel-delete-failed.notification' is emitted with the received attributes
And an ispy event 'lsp-medialive-conductor.medialive.channel-update' is emitted with the received attributes

Scenario Outline: error when updating channel after delete channel failed
Given a livestream stopped message
And MediaLive State API ""/livestreams"" ""GET"" endpoint returns HTTP ""200"" with
And MediaLive State API ""/channels"" ""GET"" endpoint returns HTTP ""200"" with
And Medialive delete channel endpoint exists and will respond with HTTP ""400""
And MediaLive State API ""/channels"" ""PUT"" endpoint returns HTTP ""<status-code>""
When the message arrives from the input queue
Then an ispy event 'lsp-medialive-conductor.livestream-stopped.received' is emitted
Then an ispy event 'lsp-medialive-conductor.channel.channel-delete-failed' is emitted
And a failure notification is sent to the encoding output topic with error class ""DELETE_CHANNEL_FAILED_IN_MEDIALIVE"" and statement ""livestreamStoppedFailed""
And an ispy event 'lsp-medialive-conductor.channel.channel-delete-failed.notification' is emitted
Then an ispy event 'lsp-medialive-conductor.medialive.channel-update-failed.notification' is emitted
Examples:
"
148,lsp-medialive-conductor Conductor receives a message to stop a livestream?,"Given a 'stop-livestream-deel.json' message
And MediaLive State API ""/livestreams"" ""GET"" endpoint returns HTTP ""200"" with
And MediaLive State API ""/channels"" ""GET"" endpoint returns HTTP ""200"" with
And MediaLive State API ""/channels"" ""PUT"" endpoint returns HTTP ""200"" with
And Medialive stop channel endpoint exists for the following channel arns and will respond with HTTP ""200""
When the message arrives from the input queue
Then an ispy event 'lsp-medialive-conductor.stop-livestream.received' is emitted with the received attributes
And a 'GET' to the '/channels' API gateway endpoint
Then a 'POST' request is sent to the Medialive '/prod/channels/3887246/stop' endpoint
And an ispy event 'lsp-medialive-conductor.channel.stopping' is emitted with the received attributes
And a 'PUT' to the '/channels' API gateway endpoint
And an ispy event 'lsp-medialive-conductor.channel.state.updated' is emitted with the received attributes

"
149,lsp-medialive-conductor Conductor receives a message to stop a livestream for simulcast with leg id in body of request?,"Given a 'stop-livestream-deel-leg-id.json' message
And MediaLive State API ""/livestreams"" ""GET"" endpoint returns HTTP ""200"" with
And MediaLive State API ""/channels"" ""GET"" endpoint returns HTTP ""200"" with
And MediaLive State API ""/channels"" ""PUT"" endpoint returns HTTP ""200"" with
And Medialive stop channel endpoint exists for the following channel arns and will respond with HTTP ""200""
When the message arrives from the input queue
Then an ispy event 'lsp-medialive-conductor.stop-livestream.received' is emitted with the received attributes
And a 'GET' to the '/channels' API gateway endpoint
Then a 'POST' request is sent to the Medialive '/prod/channels/3887246/stop' endpoint
And an ispy event 'lsp-medialive-conductor.channel.stopping' is emitted with the received attributes
And a 'PUT' to the '/channels' API gateway endpoint
And an ispy event 'lsp-medialive-conductor.channel.state.updated' is emitted with the received attributes

"
150,lsp-medialive-conductor Handle any type of channel stop 4xx response from Medialive.?,"We're expecting no retries and msg in fail q. Customer is sent notification
Given a 'stop-livestream-deel.json' message
And MediaLive State API ""/livestreams"" ""GET"" endpoint returns HTTP ""200"" with
And MediaLive State API ""/channels"" ""GET"" endpoint returns HTTP ""200"" with
And Medialive stop channel endpoint exists for the following channel arns and will respond with HTTP ""400""
And MediaLive State API ""/channels"" ""PUT"" endpoint returns HTTP ""200"" with
When the message arrives from the input queue
Then an ispy event 'lsp-medialive-conductor.stop-livestream.received' is emitted with the received attributes
And a 'GET' to the '/channels' API gateway endpoint
Then a 'POST' request is sent to the Medialive '/prod/channels/3887246/stop' endpoint
And an ispy event 'lsp-medialive-conductor.channel.channel-stop-failed' is emitted with the received attributes
And a 'PUT' to the '/channels' API gateway endpoint
And a failure notification is sent to the encoding output topic with error class ""STOP_CHANNEL_FAILED_IN_MEDIALIVE"" and statement ""stopLivestreamFailed""
And an ispy event 'lsp-medialive-conductor.channel.channel-stop-failed.notification' is emitted with the received attributes
And an ispy event 'lsp-medialive-conductor.medialive.channel-update' is emitted with the received attributes
And the message is sent to the fail queue

"
151,lsp-medialive-conductor Handle any type of channel stop 5xx response from Medialive?,"Given a 'stop-livestream-deel.json' message
And MediaLive State API ""/livestreams"" ""GET"" endpoint returns HTTP ""200"" with
And MediaLive State API ""/channels"" ""GET"" endpoint returns HTTP ""200"" with
And Medialive stop channel endpoint exists for the following channel arns and will respond with HTTP ""500""
And MediaLive State API ""/channels"" ""PUT"" endpoint returns HTTP ""200"" with
When the message arrives from the input queue
Then an ispy event 'lsp-medialive-conductor.stop-livestream.received' is emitted with the received attributes
And a 'GET' to the '/channels' API gateway endpoint
Then a 'POST' request is sent to the Medialive '/prod/channels/3887246/stop' endpoint
And an ispy event 'lsp-medialive-conductor.channel.channel-stop-failed' is emitted with the received attributes
And a 'PUT' to the '/channels' API gateway endpoint
And a failure notification is sent to the encoding output topic with error class ""STOP_CHANNEL_FAILED_IN_MEDIALIVE"" and statement ""stopLivestreamFailed""
And an ispy event 'lsp-medialive-conductor.channel.channel-stop-failed.notification' is emitted with the received attributes
And an ispy event 'lsp-medialive-conductor.medialive.channel-update' is emitted with the received attributes

"
152,lsp-medialive-conductor Conductor receives a 5xx error from Api Gateway and fails to update the channel state?,"Given a 'stop-livestream-deel.json' message
And MediaLive State API ""/livestreams"" ""GET"" endpoint returns HTTP ""200"" with
And MediaLive State API ""/channels"" ""GET"" endpoint returns HTTP ""200"" with
And MediaLive State API ""/channels"" ""PUT"" endpoint returns HTTP ""500"" with
And Medialive stop channel endpoint exists for the following channel arns and will respond with HTTP ""200""
When the message arrives from the input queue
Then an ispy event 'lsp-medialive-conductor.stop-livestream.received' is emitted with the received attributes
And a 'GET' to the '/channels' API gateway endpoint
Then a 'POST' request is sent to the Medialive '/prod/channels/3887246/stop' endpoint
And an ispy event 'lsp-medialive-conductor.channel.stopping' is emitted with the received attributes
And a 'PUT' to the '/channels' API gateway endpoint
And an ispy event 'lsp-medialive-conductor.medialive.channel-update-failed' is emitted
And a failure notification is sent to the encoding output topic with error class ""CHANNEL_DB_UPDATE_FAILED"" and statement ""stopLivestreamFailed""
And an ispy event 'lsp-medialive-conductor.medialive.channel-update-failed.notification' is emitted

"
153,lsp-medialive-conductor Handle any type of channel stop 4xx response from Medialive.?,"We're expecting no retries and msg in fail q. Customer is sent notification
Given a 'stop-livestream-deel.json' message
And MediaLive State API ""/livestreams"" ""GET"" endpoint returns HTTP ""200"" with
And MediaLive State API ""/channels"" ""GET"" endpoint returns HTTP ""200"" with
And Medialive stop channel endpoint exists for the following channel arns and will respond with HTTP ""400""
And MediaLive State API ""/channels"" ""PUT"" endpoint returns HTTP ""400"" with
When the message arrives from the input queue
Then an ispy event 'lsp-medialive-conductor.stop-livestream.received' is emitted with the received attributes
And a 'GET' to the '/channels' API gateway endpoint
Then a 'POST' request is sent to the Medialive '/prod/channels/3887246/stop' endpoint
And an ispy event 'lsp-medialive-conductor.channel.channel-stop-failed' is emitted with the received attributes
And a 'PUT' to the '/channels' API gateway endpoint
And an ispy event 'lsp-medialive-conductor.medialive.channel-update-failed' is emitted
And a failure notification is sent to the encoding output topic with error class ""CHANNEL_DB_UPDATE_FAILED"" and statement ""stopLivestreamFailed""
And an ispy event 'lsp-medialive-conductor.medialive.channel-update-failed.notification' is emitted
And the message is sent to the fail queue

"
154,lsp-medialive-conductor Handle any type of channel stop 4xx response from Medialive.?,"Given a 'stop-livestream-deel.json' message
And MediaLive State API ""/livestreams"" ""GET"" endpoint returns HTTP ""200"" with
And MediaLive State API ""/channels"" ""GET"" endpoint returns HTTP ""200"" with
And Medialive stop channel endpoint exists for the following channel arns and will respond with HTTP ""400""
And MediaLive State API ""/channels"" ""PUT"" endpoint returns HTTP ""500"" with
When the message arrives from the input queue
Then an ispy event 'lsp-medialive-conductor.stop-livestream.received' is emitted with the received attributes
And a 'GET' to the '/channels' API gateway endpoint
Then a 'POST' request is sent to the Medialive '/prod/channels/3887246/stop' endpoint
And an ispy event 'lsp-medialive-conductor.channel.channel-stop-failed' is emitted with the received attributes
And a 'PUT' to the '/channels' API gateway endpoint
And an ispy event 'lsp-medialive-conductor.medialive.channel-update-failed' is emitted
And a failure notification is sent to the encoding output topic with error class ""CHANNEL_DB_UPDATE_FAILED"" and statement ""stopLivestreamFailed""
And an ispy event 'lsp-medialive-conductor.medialive.channel-update-failed.notification' is emitted


# this scenario is a common test that Conductor receives any error message from medialive api, and receives error to update channel state DB
"
